intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
19818,0.1435,,,,,,,,,
20719,0.0741,,,,,,,,,
21767,0.1226,,,,,,,,,
22845,0.1483,,,,,,,,,
24017,0.1735,,,,,,,,,
25265,0.1254,,,,,,,,,
26537,0.1661,,,,,,,,,
27873,0.1311,,,,,,,,,
29205,0.0585,,,,,,,,,
30841,0.1272,,,,,,,,,
32136,0.0904,,,,,,,,,
932,0.2425,,,,,,,,,
928,0.4623,,,,,,,,,
958,0.408,,,,,,,,,
1002,0.4047,,,,,,,,,
963,0.2535,,,,,,,,,
944,0.4579,,,,,,,,,
1000,0.2045,,,,,,,,,
971,0.2909,,,,,,,,,
999,0.0209,,,,,,,,,
1012,0.1578,,,,,,,,,
1005,0.2078,,,,,,,,,
1038,0.0311,,,,,,,,,
1023,0.0586,,,,,,,,,
1034,0.2495,,,,,,,,,
1067,0.1359,,,,,,,,,
1070,0.6441,,,,,,,,,
1085,1,,,,,,,,,
1086,0.3621,,,,,,,,,
1097,0.5114,,,,,,,,,
1141,0.2077,,,,,,,,,
1129,0.018,,,,,,,,,
1131,0,,,,,,,,,
1104,0.7584,,,,,,,,,
1155,0.0977,,,,,,,,,
1155,0.2438,,,,,,,,,
1182,0.5113,,,,,,,,,
1224,0.2801,,,,,,,,,
1228,0.2313,,,,,,,,,
1249,0.6918,,,,,,,,,
1247,0.5035,,,,,,,,,
1243,0.1164,,,,,,,,,
1284,0.4133,,,,,,,,,
1284,0.1751,,,,,,,,,
1322,0.0808,,,,,,,,,
1347,0.3056,,,,,,,,,
1347,0.1403,,,,,,,,,
1416,0.2475,,,,,,,,,
1415,0.2254,,,,,,,,,
1490,0.2957,,,,,,,,,
1465,0.2202,,,,,,,,,
1498,0.2389,,,,,,,,,
1573,0.1454,,,,,,,,,
1540,0.2169,,,,,,,,,
1617,0.1452,,,,,,,,,
1645,0.1675,,,,,,,,,
1678,0.2882,,,,,,,,,
1724,0.1827,,,,,,,,,
1758,0.2921,,,,,,,,,
1845,0.1904,,,,,,,,,
1880,0.197,,,,,,,,,
1898,0.2619,,,,,,,,,
1931,0.2649,,,,,,,,,
2039,0.2702,,,,,,,,,
2053,0.3049,,,,,,,,,
2080,0.2174,,,,,,,,,
2201,0.2321,,,,,,,,,
2232,0.2245,,,,,,,,,
2289,0.2623,,,,,,,,,
2293,0.2461,,,,,,,,,
2436,0.1798,,,,,,,,,
2499,0.2434,,,,,,,,,
2566,0.1794,,,,,,,,,
2650,0.2382,,,,,,,,,
2733,0.2846,,,,,,,,,
2789,0.2536,,,,,,,,,
2894,0.2363,,,,,,,,,
2952,0.2524,,,,,,,,,
3045,0.2662,,,,,,,,,
3175,0.2316,,,,,,,,,
3280,0.2554,,,,,,,,,
3374,0.2727,,,,,,,,,
3434,0.2612,,,,,,,,,
3578,0.2279,,,,,,,,,
3669,0.2319,,,,,,,,,
3816,0.2038,,,,,,,,,
3966,0.2062,,,,,,,,,
4027,0.2179,,,,,,,,,
4174,0.2372,,,,,,,,,
4363,0.2517,,,,,,,,,
4448,0.2442,,,,,,,,,
4636,0.2574,,,,,,,,,
4840,0.2514,,,,,,,,,
4993,0.2459,,,,,,,,,
5185,0.2087,,,,,,,,,
5425,0.2188,,,,,,,,,
5636,0.2439,,,,,,,,,
5839,0.2509,,,,,,,,,
6034,0.2637,,,,,,,,,
6335,0.2541,,,,,,,,,
6646,0.2319,,,,,,,,,
6854,0.2307,,,,,,,,,
7213,0.2616,,,,,,,,,
7502,0.2317,,,,,,,,,
7739,0.2205,,,,,,,,,
8114,0.2526,,,,,,,,,
8475,0.213,,,,,,,,,
8831,0.249,,,,,,,,,
9290,0.2294,,,,,,,,,
9669,0.2304,,,,,,,,,
10025,0.2592,,,,,,,,,
10471,0.2468,,,,,,,,,
10909,0.2439,,,,,,,,,
11404,0.2436,,,,,,,,,
11912,0.2429,,,,,,,,,
12425,0.2339,,,,,,,,,
13032,0.2185,,,,,,,,,
13630,0.2132,,,,,,,,,
14311,0.2051,,,,,,,,,
14971,0.2454,,,,,,,,,
15606,0.235,,,,,,,,,
16339,0.2145,,,,,,,,,
17087,0.2247,,,,,,,,,
17865,0.2249,,,,,,,,,
18535,0.2277,,,,,,,,,
19421,0.2078,,,,,,,,,
20370,0.2181,,,,,,,,,
21392,0.2191,,,,,,,,,
22289,0.2148,,,,,,,,,
23295,0.2257,,,,,,,,,
24383,0.2152,,,,,,,,,
25583,0.235,,,,,,,,,
26796,0.2257,,,,,,,,,
28073,0.2399,,,,,,,,,
29362,0.2518,,,,,,,,,
30777,0.2453,,,,,,,,,
32220,0.2571,,,,,,,,,
33631,0.242,,,,,,,,,
35238,0.2298,,,,,,,,,
791,0.4889,,,,,,,,,
813,0.6166,,,,,,,,,
779,0.6166,,,,,,,,,
840,0.425,,,,,,,,,
833,0.425,,,,,,,,,
835,0.7444,,,,,,,,,
865,0.7444,,,,,,,,,
841,0.7444,,,,,,,,,
824,0.7444,,,,,,,,,
830,0.7444,,,,,,,,,
900,1,,,,,,,,,
872,1,,,,,,,,,
895,1,,,,,,,,,
896,1,,,,,,,,,
898,1,,,,,,,,,
927,1,,,,,,,,,
898,0.8722,,,,,,,,,
904,0.8722,,,,,,,,,
940,0.8722,,,,,,,,,
952,0.8722,,,,,,,,,
952,0.8722,,,,,,,,,
963,0.8722,,,,,,,,,
944,0.8722,,,,,,,,,
1008,0.8722,,,,,,,,,
1031,0.8722,,,,,,,,,
1062,0.8722,,,,,,,,,
1065,0.8722,,,,,,,,,
1068,0.7444,,,,,,,,,
1067,0.7444,,,,,,,,,
1116,0.7444,,,,,,,,,
1048,0.7444,,,,,,,,,
1121,0.7444,,,,,,,,,
1162,0.2584,,,,,,,,,
1183,0.3758,,,,,,,,,
1188,0.9171,,,,,,,,,
1216,0.0231,,,,,,,,,
1242,0.0806,,,,,,,,,
1287,0.116,,,,,,,,,
1289,0,,,,,,,,,
1302,0.256,,,,,,,,,
1329,0.0094,,,,,,,,,
1380,0.0589,,,,,,,,,
1435,0.132,,,,,,,,,
1441,0.0125,,,,,,,,,
1460,0.1547,,,,,,,,,
1493,0.0032,,,,,,,,,
