intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
3467,0.7915,,,,,,,,,,
3539,0.8444,,,,,,,,,,
3602,0.9168,,,,,,,,,,
3715,0.7876,,,,,,,,,,
3753,0.7974,,,,,,,,,,
3868,0.8497,,,,,,,,,,
3945,0.8833,,,,,,,,,,
4075,0.7609,,,,,,,,,,
4155,0.8219,,,,,,,,,,
4251,0.8078,,,,,,,,,,
4357,0.7845,,,,,,,,,,
4483,0.7465,,,,,,,,,,
4608,0.7664,,,,,,,,,,
4713,0.733,,,,,,,,,,
4876,0.7372,,,,,,,,,,
5034,0.5747,,,,,,,,,,
5156,0.5959,,,,,,,,,,
5285,0.5976,,,,,,,,,,
5429,0.5831,,,,,,,,,,
5637,0.6074,,,,,,,,,,
5782,0.6168,,,,,,,,,,
6003,0.5324,,,,,,,,,,
6223,0.4452,,,,,,,,,,
6381,0.4934,,,,,,,,,,
6634,0.734,,,,,,,,,,
6836,0.7507,,,,,,,,,,
7142,0.5632,,,,,,,,,,
7463,0.3592,,,,,,,,,,
7631,0.5121,,,,,,,,,,
7958,0.3582,,,,,,,,,,
8314,0.4702,,,,,,,,,,
8563,0.4729,,,,,,,,,,
8885,0.3853,,,,,,,,,,
9222,0.8897,,,,,,,,,,
9620,0.7568,,,,,,,,,,
10050,0.6311,,,,,,,,,,
10575,0.361,,,,,,,,,,
10901,0.4049,,,,,,,,,,
11298,0.4967,,,,,,,,,,
11752,0.4395,,,,,,,,,,
12252,0.6498,,,,,,,,,,
12820,0.5109,,,,,,,,,,
13368,0.4069,,,,,,,,,,
13868,0.3529,,,,,,,,,,
14561,0.6538,,,,,,,,,,
15308,0.4581,,,,,,,,,,
15895,0.4386,,,,,,,,,,
16530,0.3819,,,,,,,,,,
17409,0.5133,,,,,,,,,,
18018,0.5446,,,,,,,,,,
18727,0.9369,,,,,,,,,,
19631,0.7479,,,,,,,,,,
20414,0.761,,,,,,,,,,
21266,0.7078,,,,,,,,,,
22200,0.682,,,,,,,,,,
23181,0.5997,,,,,,,,,,
24092,0.6671,,,,,,,,,,
25211,0.5318,,,,,,,,,,
26161,0.6299,,,,,,,,,,
27300,0.6089,,,,,,,,,,
28476,0.6095,,,,,,,,,,
29576,0.7316,,,,,,,,,,
30773,0.7855,,,,,,,,,,
32109,0.8144,,,,,,,,,,
33510,0.8797,,,,,,,,,,
34747,0.5708,,,,,,,,,,
