intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
4.13E-06,0.7638,,,,,,,,,,
4.22E-06,0.7964,,,,,,,,,,
4.28E-06,0.8681,,,,,,,,,,
4.50E-06,0.7292,,,,,,,,,,
4.56E-06,0.8118,,,,,,,,,,
4.59E-06,0.9437,,,,,,,,,,
4.77E-06,0.8849,,,,,,,,,,
4.91E-06,0.8737,,,,,,,,,,
5.05E-06,0.8719,,,,,,,,,,
5.24E-06,0.8172,,,,,,,,,,
5.28E-06,0.9467,,,,,,,,,,
5.66E-06,0.6874,,,,,,,,,,
5.55E-06,1,,,,,,,,,,
5.86E-06,0.8262,,,,,,,,,,
5.93E-06,0.9345,,,,,,,,,,
6.26E-06,0.7766,,,,,,,,,,
6.38E-06,0.8354,,,,,,,,,,
6.71E-06,0.6979,,,,,,,,,,
6.80E-06,0.8048,,,,,,,,,,
7.11E-06,0.6973,,,,,,,,,,
7.22E-06,0.7915,,,,,,,,,,
7.38E-06,0.8444,,,,,,,,,,
7.53E-06,0.9168,,,,,,,,,,
7.90E-06,0.7876,,,,,,,,,,
8.13E-06,0.7974,,,,,,,,,,
8.32E-06,0.8497,,,,,,,,,,
8.54E-06,0.8833,,,,,,,,,,
8.95E-06,0.7609,,,,,,,,,,
9.16E-06,0.8219,,,,,,,,,,
9.46E-06,0.8078,,,,,,,,,,
9.79E-06,0.7845,,,,,,,,,,
1.01E-05,0.7465,,,,,,,,,,
1.04E-05,0.7664,,,,,,,,,,
1.08E-05,0.733,,,,,,,,,,
1.12E-05,0.7372,,,,,,,,,,
1.18E-05,0.5747,,,,,,,,,,
1.21E-05,0.5959,,,,,,,,,,
1.25E-05,0.5976,,,,,,,,,,
1.29E-05,0.5831,,,,,,,,,,
1.35E-05,0.6074,,,,,,,,,,
1.39E-05,0.6168,,,,,,,,,,
1.45E-05,0.5324,,,,,,,,,,
1.52E-05,0.4452,,,,,,,,,,
1.56E-05,0.4934,,,,,,,,,,
1.64E-05,0.734,,,,,,,,,,
1.69E-05,0.7507,,,,,,,,,,
1.78E-05,0.5632,,,,,,,,,,
1.88E-05,0.3592,,,,,,,,,,
1.92E-05,0.5121,,,,,,,,,,
2.01E-05,0.3582,,,,,,,,,,
2.12E-05,0.4702,,,,,,,,,,
2.19E-05,0.4729,,,,,,,,,,
2.29E-05,0.3853,,,,,,,,,,
2.38E-05,0.8897,,,,,,,,,,
2.50E-05,0.7568,,,,,,,,,,
2.62E-05,0.6311,,,,,,,,,,
2.77E-05,0.361,,,,,,,,,,
2.86E-05,0.4049,,,,,,,,,,
2.98E-05,0.4967,,,,,,,,,,
3.11E-05,0.4395,,,,,,,,,,
3.25E-05,0.6498,,,,,,,,,,
3.41E-05,0.5109,,,,,,,,,,
3.57E-05,0.4069,,,,,,,,,,
3.72E-05,0.3529,,,,,,,,,,
3.92E-05,0.6538,,,,,,,,,,
4.13E-05,0.4581,,,,,,,,,,
4.30E-05,0.4386,,,,,,,,,,
4.48E-05,0.3819,,,,,,,,,,
4.73E-05,0.5133,,,,,,,,,,
4.91E-05,0.5446,,,,,,,,,,
5.12E-05,0.9369,,,,,,,,,,
5.39E-05,0.7479,,,,,,,,,,
5.60E-05,0.761,,,,,,,,,,
5.86E-05,0.7078,,,,,,,,,,
6.11E-05,0.682,,,,,,,,,,
6.40E-05,0.5997,,,,,,,,,,
6.65E-05,0.6671,,,,,,,,,,
6.99E-05,0.5318,,,,,,,,,,
7.25E-05,0.6299,,,,,,,,,,
7.58E-05,0.6089,,,,,,,,,,
7.92E-05,0.6095,,,,,,,,,,
8.23E-05,0.7316,,,,,,,,,,
8.59E-05,0.7855,,,,,,,,,,
8.97E-05,0.8144,,,,,,,,,,
9.36E-05,0.8797,,,,,,,,,,
9.72E-05,0.5708,,,,,,,,,,
