intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
17901,0,,,,,,,,,,
16967,0.2138,,,,,,,,,,
16435,0.2333,,,,,,,,,,
15892,0.2523,,,,,,,,,,
15478,0.2294,,,,,,,,,,
14942,0.2802,,,,,,,,,,
14566,0.2582,,,,,,,,,,
14088,0.2896,,,,,,,,,,
13723,0.2851,,,,,,,,,,
13215,0.3613,,,,,,,,,,
12975,0.2971,,,,,,,,,,
12620,0.2688,,,,,,,,,,
12227,0.3236,,,,,,,,,,
11897,0.317,,,,,,,,,,
11501,0.3798,,,,,,,,,,
11210,0.3455,,,,,,,,,,
10909,0.3767,,,,,,,,,,
10595,0.383,,,,,,,,,,
10287,0.432,,,,,,,,,,
10065,0.3636,,,,,,,,,,
9752,0.4061,,,,,,,,,,
9523,0.3981,,,,,,,,,,
9214,0.1815,,,,,,,,,,
8959,0.23,,,,,,,,,,
8795,0.1685,,,,,,,,,,
8513,0.2372,,,,,,,,,,
8284,0.2677,,,,,,,,,,
8053,0.1505,,,,,,,,,,
7813,0.1579,,,,,,,,,,
7635,0.1955,,,,,,,,,,
7413,0.2365,,,,,,,,,,
7228,0.2382,,,,,,,,,,
7026,0.2807,,,,,,,,,,
6836,0.3007,,,,,,,,,,
6653,0.1442,,,,,,,,,,
6495,0.1552,,,,,,,,,,
6347,0.1816,,,,,,,,,,
6171,0.1926,,,,,,,,,,
5997,0.2785,,,,,,,,,,
5813,0.2858,,,,,,,,,,
5680,0.2964,,,,,,,,,,
5514,0.3389,,,,,,,,,,
5401,0.1639,,,,,,,,,,
5264,0.2012,,,,,,,,,,
5088,0.2725,,,,,,,,,,
4977,0.2937,,,,,,,,,,
4897,0.2683,,,,,,,,,,
4723,0.3748,,,,,,,,,,
4588,0.2527,,,,,,,,,,
4518,0.2505,,,,,,,,,,
4415,0.2515,,,,,,,,,,
4366,0.1696,,,,,,,,,,
4191,0.354,,,,,,,,,,
4114,0.3337,,,,,,,,,,
3971,0.4334,,,,,,,,,,
3895,0.4268,,,,,,,,,,
3803,0.438,,,,,,,,,,
3710,0.1806,,,,,,,,,,
3617,0.2195,,,,,,,,,,
3555,0.2436,,,,,,,,,,
3493,0.2047,,,,,,,,,,
3344,0.3639,,,,,,,,,,
3305,0.3016,,,,,,,,,,
3233,0.3606,,,,,,,,,,
3141,0.424,,,,,,,,,,
3105,0.4255,,,,,,,,,,
3004,0.5217,,,,,,,,,,
2940,0.5055,,,,,,,,,,
2895,0.4762,,,,,,,,,,
2793,0.6374,,,,,,,,,,
2759,0.6338,,,,,,,,,,
2730,0.582,,,,,,,,,,
2644,0.6907,,,,,,,,,,
2636,0.5872,,,,,,,,,,
2569,0.6549,,,,,,,,,,
2506,0.641,,,,,,,,,,
2420,0.8185,,,,,,,,,,
2378,0.7833,,,,,,,,,,
2355,0.8785,,,,,,,,,,
2309,0.5729,,,,,,,,,,
2236,0.7943,,,,,,,,,,
2225,0.5999,,,,,,,,,,
2196,0.648,,,,,,,,,,
2115,0.7859,,,,,,,,,,
2071,0.8357,,,,,,,,,,
2051,0.8969,,,,,,,,,,
2047,0.7187,,,,,,,,,,
1972,0.8529,,,,,,,,,,
1953,0.9447,,,,,,,,,,
1902,1,,,,,,,,,,
