pixel#,intensity1,depth1,reflection1,absorption1,intensity2,depth2,reflection2,absorption2,D,iii,aaa
53,0.12598961,45.78826732,0.000119228,0.383243703,0.051863995,54.64075731,8.37E-05,0.599661006,1.6924,0.177853605,0.982904709
54,0.120811273,46.17315819,0.000117249,0.401206238,0.053616348,54.25586644,8.49E-05,0.631719093,1.6924,0.174427621,1.032925331
55,0.116844534,46.55804906,0.000115319,0.375629654,0.055396964,53.87097557,8.61E-05,0.666005946,1.6924,0.172241498,1.0416356
56,0.110371612,46.94293993,0.000113436,0.467498107,0.058421187,53.4860847,8.74E-05,0.615937818,1.6924,0.168792799,1.083435925
57,0.107433902,47.3278308,0.000111598,0.410279169,0.063028179,53.10119384,8.87E-05,0.467248146,1.6924,0.170462081,0.877527315
58,0.102272161,47.71272167,0.000109805,0.4617263,0.064667477,52.71630297,9.00E-05,0.527976295,1.6924,0.166939638,0.989702595
59,0.098023269,48.09761254,0.000108055,0.479249764,0.068370029,52.3314121,9.13E-05,0.45926727,1.6924,0.166393298,0.938517034
60,0.094338683,48.48250341,0.000106347,0.476749525,0.072072581,51.94652123,9.26E-05,0.400574775,1.6924,0.166411264,0.8773243
61,0.089957013,48.86739428,0.000104678,0.51683645,0.07484243,51.56163036,9.40E-05,0.407005247,1.6924,0.164799443,0.923841697
62,0.086587774,49.25228514,0.000103049,0.512679832,0.077838388,51.17673949,9.54E-05,0.405998317,1.6924,0.164426162,0.918678149
63,0.08313555,49.63717601,0.000101457,0.519586328,0.081060456,50.79184862,9.69E-05,0.398335766,1.6924,0.164196006,0.917922094
64,0.079998672,50.02206688,9.99E-05,0.516027387,0.085582657,50.40695775,9.84E-05,0.325457462,1.6924,0.165581329,0.841484849
65,0.075633599,50.40695775,9.84E-05,0.589307581,0.087278483,50.02206688,9.99E-05,0.415126911,1.6924,0.162912082,1.004434492
66,0.073027834,50.79184862,9.69E-05,0.569301773,0.09199853,49.63717601,0.000101457,0.347407718,1.6924,0.165026364,0.916709491
67,0.068148247,51.17673949,9.54E-05,0.693817567,0.096266358,49.25228514,0.000103049,0.313205953,1.6924,0.164414605,1.00702352
68,0.066372342,51.56163036,9.40E-05,0.635718788,0.102088692,48.86739428,0.000104678,0.211212176,1.6924,0.168461034,0.846930964
69,0.061940881,51.94652123,9.26E-05,0.75385711,0.103332297,48.48250341,0.000106347,0.340921517,1.6924,0.165273178,1.094778627
70,0.059750046,52.3314121,9.13E-05,0.734111607,0.109324214,48.09761254,0.000108055,0.248168554,1.6924,0.16907426,0.982280161
71,0.057542613,52.71630297,9.00E-05,0.720653957,0.112489754,47.71272167,0.000109805,0.296458961,1.6924,0.170032367,1.017112918
72,0.055019834,53.10119384,8.87E-05,0.734875977,0.117294593,47.3278308,0.000111598,0.276366419,1.6924,0.172314427,1.011242396
73,0.051517817,53.4860847,8.74E-05,0.82797706,0.121477629,46.94293993,0.000113436,0.291573722,1.6924,0.172995446,1.119550782
74,0.049775107,53.87097557,8.61E-05,0.798927558,0.128034821,46.55804906,0.000115319,0.213023569,1.6924,0.177809928,1.011951127
75,0.046538647,54.25586644,8.49E-05,0.8910525,0.131454736,46.17315819,0.000117249,0.274898364,1.6924,0.177993383,1.165950864
76,0.045194271,54.64075731,8.37E-05,0.841416906,0.137164015,45.78826732,0.000119228,0.249455503,1.6924,0.182358286,1.090872409
77,0.043152811,55.02564818,8.26E-05,0.852549922,0.144597383,45.40337645,0.000121258,0.166205177,1.6924,0.187750194,1.018755099
78,0.040679823,55.41053905,8.14E-05,0.906697476,0.150278398,45.01848558,0.00012334,0.161336302,1.6924,0.190958221,1.068033778
79,0.039318849,55.79542992,8.03E-05,0.871988795,0.155337611,44.63359472,0.000125476,0.187496359,1.6924,0.19465646,1.059485154
80,0.036480722,56.18032079,7.92E-05,0.974219802,0.160764252,44.24870385,0.000127668,0.207375972,1.6924,0.197244974,1.181595774
81,0.036331347,56.56521166,7.81E-05,0.83840102,0.16864984,43.86381298,0.000129918,0.148656389,1.6924,0.204981187,0.987057409
82,0.033028497,56.95010253,7.71E-05,1,0.17376558,43.47892211,0.000132228,0.195446624,1.6924,0.206794077,1.195446624
83,0.03223183,57.3349934,7.60E-05,0.930397453,0.180718465,43.09403124,0.000134601,0.187601607,1.6924,0.212950295,1.11799906
84,0.030638496,57.71988427,7.50E-05,0.942704823,0.190130296,42.70914037,0.000137037,0.109867943,1.6924,0.220768792,1.052572766
85,0.029626064,58.10477513,7.40E-05,0.901200444,0.197281027,42.3242495,0.000139541,0.115751743,1.6924,0.226907091,1.016952187
86,0.027833563,58.489666,7.31E-05,0.944571838,0.203583844,41.93935863,0.000142113,0.156242886,1.6924,0.231417407,1.100814724
87,0.026505784,58.87455687,7.21E-05,0.945087519,0.21039541,41.55446776,0.000144758,0.188977003,1.6924,0.236901194,1.134064522
88,0.026389603,59.25944774,7.12E-05,0.817952675,0.221503067,41.16957689,0.000147477,0.104978971,1.6924,0.24789267,0.922931646
89,0.023916615,59.64433861,7.03E-05,0.953645812,0.231367118,40.78468602,0.000150273,0.070285573,1.6924,0.255283733,1.023931385
90,0.023634462,60.02922948,6.94E-05,0.848542636,0.240976795,40.39979515,0.000153149,0.054139183,1.6924,0.264611257,0.902681819
91,0.021858558,60.41412035,6.85E-05,0.91938024,0.249936407,40.01490429,0.000156109,0.065954788,1.6924,0.271794965,0.985335028
92,0.021045294,60.79901122,6.76E-05,0.881990904,0.259998304,39.63001342,0.000159156,0.058974297,1.6924,0.281043598,0.940965201
93,0.020580571,61.18390209,6.68E-05,0.805041719,0.272575676,39.24512255,0.000162292,0,1.6924,0.293156247,0.805041719
94,0.018406334,61.56879296,6.59E-05,0.944739256,0.280856957,38.86023168,0.000165523,0.058997071,1.6924,0.299263291,1.003736327
95,0.018090986,61.95368383,6.51E-05,0.854122675,0.289194766,38.47534081,0.00016885,0.124945481,1.6924,0.307285752,0.979068156
96,0.017211333,62.33857469,6.43E-05,0.839121522,0.301574291,38.09044994,0.000172279,0.104647844,1.6924,0.318785624,0.943769366
97,0.016165707,62.72346556,6.35E-05,0.850225439,0.312286255,37.70555907,0.000175814,0.134593498,1.6924,0.328451962,0.984818937
98,0.016099318,63.10835643,6.28E-05,0.731951443,0.3248071,37.3206682,0.000179458,0.134652862,1.6924,0.340906418,0.866604305
99,0.014771539,63.4932473,6.20E-05,0.788596143,0.340210848,36.93577733,0.000183217,0.084745221,1.6924,0.354982387,0.873341364
100,0.013709316,63.87813817,6.13E-05,0.814615057,0.349735734,36.55088646,0.000187095,0.084745221,1.6924,0.36344505,0.899360278
101,0.013593135,64.26302904,6.05E-05,0.707516897,0.363895876,36.16599559,0.000191098,0.084745221,1.6924,0.377489011,0.792262118
102,0.012564107,64.64791991,5.98E-05,0.73565422,0.376755886,35.78110473,0.000195231,0.084745221,1.6924,0.389319993,0.820399441
103,0.011784037,65.03281078,5.91E-05,0.731391483,0.391255193,35.39621386,0.000199499,0.084745221,1.6924,0.40303923,0.816136704
104,0.011385703,65.41770165,5.84E-05,0.671841544,0.407195953,35.01132299,0.000203908,0.084745221,1.6924,0.418581656,0.756586765
105,0.010738411,65.80259252,5.77E-05,0.652993611,0.424210735,34.62643212,0.000208465,0.084745221,1.6924,0.434949146,0.737738832
106,0.009991535,66.18748339,5.71E-05,0.653132973,0.439727537,34.24154125,0.000213177,0.084745221,1.6924,0.449719072,0.737878194
107,0.009642993,66.57237425,5.64E-05,0.59216821,0.456035725,33.85665038,0.000218051,0.084745221,1.6924,0.465678718,0.676913431
108,0.00984216,66.95726512,5.58E-05,0.444612872,0.47720528,33.47175951,0.000223093,0.084745221,1.6924,0.48704744,0.529358093
109,0.008414798,67.34215599,5.51E-05,0.563924448,0.491987225,33.08686864,0.000228312,0.084745221,1.6924,0.500402023,0.648669669
110,0.007634728,67.72704686,5.45E-05,0.583079286,0.511347899,32.70197777,0.000233717,0.084745221,1.6924,0.518982627,0.667824507
111,0.007053825,68.11193773,5.39E-05,0.571563754,0.531132529,32.3170869,0.000239316,0.084745221,1.6924,0.538186354,0.656308975
112,0.007651325,68.4968286,5.33E-05,0.355978596,0.553432633,31.93219603,0.000245118,0.084745221,1.6924,0.561083958,0.440723817
113,0.006389935,68.88171947,5.27E-05,0.467044465,0.574884825,31.54730517,0.000251135,0.084745221,1.6924,0.58127476,0.551789686
114,0.005493685,69.26661034,5.21E-05,0.521610842,0.596421808,31.1624143,0.000257375,0.084745221,1.6924,0.601915493,0.606356063
